campaign,week,spend,impressions,clicks,conversions,avg_cpc
Brand Search,49,2432.25,71389,4555,250,0.577
Brand Search,50,2394.24,73199,5133,260,0.498
Brand Search,51,2455.94,76390,4858,254,0.551
Brand Search,52,2579.98,75764,4721,262,0.592
Generic Search,1,3292.51,176964,2537,105,1.25
Generic Search,2,3473.31,174600,2666,95,1.198
Generic Search,3,3715.93,188190,2552,95,1.189
Generic Search,4,3316.88,177730,2537,95,1.339
Generic Search,5,3804.51,195980,2950,114,1.066
Generic Search,6,3714.61,187033,2780,112,1.296
Generic Search,7,3901.48,203067,3401,139,1.19
Generic Search,8,3690.02,190059,2940,104,1.302
Generic Search,9,3732.34,196374,2945,79,1.266
Generic Search,10,3508.03,186296,2703,113,1.276
Generic Search,11,3425.01,180714,2974,101,1.314
Generic Search,12,3435.6,174991,2682,101,1.292
Generic Search,13,3408.92,174684,2512,110,1.31
Generic Search,14,3299.15,180832,2592,106,1.232
Generic Search,15,3306.94,161496,2716,102,1.272
Generic Search,16,3181.67,175150,2415,113,1.144
Generic Search,17,3053.64,172285,2773,104,1.235
Generic Search,18,2971.02,166772,2518,114,1.289
Generic Search,19,2928.87,183625,2437,92,1.342
Generic Search,20,3334.58,175289,2708,114,1.312
Generic Search,21,3136.43,195106,2806,103,1.199
Generic Search,22,3174.86,177609,2540,99,1.301
Generic Search,23,3093.65,159746,2547,108,1.182
Generic Search,24,2972.65,170472,2542,99,1.323
Generic Search,25,2537.32,131291,2012,85,1.2
Generic Search,26,2608.8,135265,2049,78,1.273
Generic Search,27,2758.65,139458,2112,81,1.283
Generic Search,28,2701.14,155314,2012,88,1.278
Generic Search,29,2674.99,149287,1984,101,1.166
Generic Search,30,2841.89,138281,2344,85,1.26
Generic Search,31,3192.89,179650,2500,77,1.202
Generic Search,32,3574.2,185451,2970,123,1.241
Generic Search,33,3381.12,205449,3064,112,1.382
Generic Search,34,3594.79,183762,2890,126,1.191
Generic Search,35,3987.0,188795,3128,123,1.24
Generic Search,36,3914.81,185516,3247,119,1.216
Generic Search,37,3565.27,194804,2897,128,1.318
Generic Search,38,3691.89,182609,2828,117,1.249
Generic Search,39,3603.91,194367,2993,113,1.228
Generic Search,40,3489.27,184272,3091,114,1.299
Generic Search,41,3464.92,176389,2740,127,1.317
Generic Search,42,3746.61,189685,2935,115,1.228
Generic Search,43,3362.38,191154,2956,134,1.26
Generic Search,44,4262.72,211483,3181,89,1.279
Generic Search,45,4430.75,252163,3368,140,1.206
Generic Search,46,4415.5,238805,3631,164,1.25
Generic Search,47,4772.08,265237,3994,149,1.321
Generic Search,48,4823.45,275871,4341,149,1.273
Generic Search,49,5785.41,300662,3955,166,1.327
Generic Search,50,5845.55,308575,4744,195,1.206
Generic Search,51,5973.08,325287,4678,191,1.331
Generic Search,52,6055.83,369118,5609,174,1.241
Competitor Search,1,1369.49,32474,969,29,1.379
Competitor Search,2,1315.23,36616,1026,29,1.426
Competitor Search,3,1365.62,33906,980,34,1.384
Competitor Search,4,1309.07,30379,1013,26,1.216
Competitor Search,5,1493.67,38277,1221,34,1.384
Competitor Search,6,1419.3,37253,1129,35,1.338
Competitor Search,7,1727.16,40760,1283,38,1.247
Competitor Search,8,1462.15,35701,965,35,1.306
Competitor Search,9,1381.3,35061,1083,35,1.319
Competitor Search,10,1434.1,37587,1091,34,1.298
Competitor Search,11,1427.32,34499,1107,28,1.278
Competitor Search,12,1430.83,33694,1000,30,1.284
Competitor Search,13,1410.52,31374,996,30,1.323
Competitor Search,14,1275.01,31488,1014,27,1.373
Competitor Search,15,1217.33,31495,975,26,1.373
Competitor Search,16,1275.8,30251,871,25,1.333
Competitor Search,17,1200.45,29306,932,33,1.348
Competitor Search,18,1280.4,31378,977,24,1.301
Competitor Search,19,1241.18,30667,911,26,1.313
Competitor Search,20,1288.44,29202,927,30,1.434
Competitor Search,21,1415.17,33131,1044,31,1.284
Competitor Search,22,1222.97,32838,881,28,1.37
Competitor Search,23,1128.17,29937,965,27,1.365
Competitor Search,24,1238.06,32441,905,29,1.326
Competitor Search,25,992.73,25760,734,21,1.29
Competitor Search,26,924.98,25585,706,22,1.426
Competitor Search,27,1003.08,24905,832,23,1.395
Competitor Search,28,1017.94,26769,743,21,1.37
Competitor Search,29,1017.98,27061,895,20,1.28
Competitor Search,30,1102.52,26178,847,21,1.352
Competitor Search,31,1251.11,31674,964,25,1.259
Competitor Search,32,1503.91,36110,1076,31,1.354
Competitor Search,33,1378.94,34323,1170,32,1.387
Competitor Search,34,1433.2,39229,1126,34,1.366
Competitor Search,35,1445.28,33825,1048,37,1.416
Competitor Search,36,1496.62,37353,1210,33,1.244
Competitor Search,37,1454.71,35425,882,30,1.34
Competitor Search,38,1434.6,35439,1016,31,1.35
Competitor Search,39,1414.73,35071,1154,29,1.307
Competitor Search,40,1333.98,37264,1144,33,1.391
Competitor Search,41,1498.83,37435,1137,32,1.409
Competitor Search,42,1471.68,34568,1178,38,1.266
Competitor Search,43,1504.4,36452,1108,33,1.247
Competitor Search,44,1629.17,38150,1195,33,1.26
Competitor Search,45,1661.55,47306,1381,33,1.29
Competitor Search,46,1868.87,46330,1317,45,1.304
Competitor Search,47,2093.44,52703,1670,39,1.446
Competitor Search,48,2298.38,56225,1877,49,1.385
Competitor Search,49,2248.48,61180,1757,50,1.471
Competitor Search,50,2413.15,61073,1813,51,1.365
Competitor Search,51,2640.59,65228,1653,62,1.307
Competitor Search,52,2551.57,69043,2082,55,1.494
Display Remarketing,1,1061.33,407868,1246,45,0.823
Display Remarketing,2,1089.35,441387,1279,38,0.803
Display Remarketing,3,1124.82,460321,1229,40,0.863
Display Remarketing,4,1032.87,421402,1215,35,0.834
Display Remarketing,5,1259.91,536173,1555,48,0.818
Display Remarketing,6,1245.0,509170,1532,43,0.848
Display Remarketing,7,1529.02,599163,1965,51,0.852
Display Remarketing,8,1210.88,498675,1404,48,0.837
Display Remarketing,9,1263.43,452282,1404,40,0.808
Display Remarketing,10,1147.38,469653,1415,42,0.807
Display Remarketing,11,1162.5,482226,1310,42,0.827
Display Remarketing,12,1148.74,450057,1352,37,0.831
Display Remarketing,13,1061.15,452525,1314,40,0.793
Display Remarketing,14,1111.31,446029,1359,46,0.828
Display Remarketing,15,1103.4,418903,1293,39,0.841
Display Remarketing,16,1057.37,406241,1239,39,0.903
Display Remarketing,17,975.55,367724,1176,37,0.837
Display Remarketing,18,994.64,420255,1259,35,0.811
Display Remarketing,19,961.29,383348,1154,31,0.811
Display Remarketing,20,1072.29,432642,1289,41,0.808
Display Remarketing,21,1060.25,443813,1277,39,0.858
Display Remarketing,22,1088.81,434087,1270,41,0.837
Display Remarketing,23,918.91,372683,1043,31,0.752
Display Remarketing,24,910.8,399913,1086,36,0.83
Display Remarketing,25,709.75,311942,907,22,0.873
Display Remarketing,26,702.77,291412,916,26,0.876
Display Remarketing,27,763.7,273354,864,27,0.806
Display Remarketing,28,744.03,312524,917,25,0.837
Display Remarketing,29,743.67,286696,853,28,0.829
Display Remarketing,30,776.61,293069,921,25,0.792
Display Remarketing,31,1002.89,376268,1260,44,0.849
Display Remarketing,32,1149.18,473650,1305,42,0.851
Display Remarketing,33,1252.79,464783,1495,48,0.903
Display Remarketing,34,1215.25,478985,1505,34,0.808
Display Remarketing,35,1264.04,499914,1388,45,0.798
Display Remarketing,36,1345.9,499028,1541,46,0.854
Display Remarketing,37,1036.34,454131,1448,40,0.767
Display Remarketing,38,1195.49,480455,1393,38,0.799
Display Remarketing,39,1190.78,461711,1280,41,0.827
Display Remarketing,40,1206.03,491030,1485,48,0.921
Display Remarketing,41,1291.7,467203,1266,45,0.833
Display Remarketing,42,1218.08,518446,1462,47,0.816
Display Remarketing,43,1318.77,474468,1517,46,0.771
Display Remarketing,44,1564.59,566842,1892,50,0.82
Display Remarketing,45,1688.16,655180,1957,59,0.773
Display Remarketing,46,1740.19,673951,2147,61,0.828
Display Remarketing,47,1916.0,768147,2302,66,0.786
Display Remarketing,48,2018.56,874779,2544,79,0.887
Display Remarketing,49,2117.27,912414,2495,78,0.85
Display Remarketing,50,2519.32,910491,2824,94,0.768
Display Remarketing,51,2542.49,988008,2849,92,0.855
Display Remarketing,52,2544.17,1077346,3202,86,0.894
Performance Max,1,2824.12,107548,1740,95,1.463
Performance Max,2,2492.62,117595,1794,103,1.527
Performance Max,3,2691.45,126864,1762,81,1.517
Performance Max,4,2768.0,103548,1668,91,1.26
Performance Max,5,2873.98,129768,1932,86,1.644
Performance Max,6,2803.83,120170,1936,99,1.472
Performance Max,7,3299.87,137876,2195,110,1.322
Performance Max,8,2946.57,111799,1679,106,1.404
Performance Max,9,2874.97,113959,1825,98,1.421
Performance Max,10,2854.07,119005,2005,90,1.578
Performance Max,11,2959.83,124123,1910,95,1.714
Performance Max,12,2969.74,108878,1918,94,1.505
Performance Max,13,2700.48,114180,1889,90,1.525
Performance Max,14,2790.15,111500,1819,94,1.622
Performance Max,15,2731.57,110168,1757,78,1.522
Performance Max,16,2460.48,101142,1777,84,1.535
Performance Max,17,2469.6,111513,1703,92,1.551
Performance Max,18,2519.27,101446,1671,88,1.552
Performance Max,19,2357.79,108105,1629,87,1.448
Performance Max,20,2734.13,106307,1791,86,1.479
Performance Max,21,2587.06,109082,1580,94,1.572
Performance Max,22,2586.6,101808,1687,94,1.547
Performance Max,23,2386.76,104822,1509,76,1.536
Performance Max,24,2403.93,97261,1366,84,1.524
Performance Max,25,1931.28,88800,1382,70,1.571
Performance Max,26,2021.12,89578,1445,73,1.623
Performance Max,27,2149.06,84512,1546,63,1.465
Performance Max,28,2027.87,87141,1497,77,1.535
Performance Max,29,2076.7,85948,1367,76,1.432
Performance Max,30,2226.07,89208,1449,80,1.464
Performance Max,31,2701.5,97781,1605,73,1.444
Performance Max,32,2909.75,122437,1930,96,1.412
Performance Max,33,2730.87,121582,2077,93,1.405
Performance Max,34,2747.53,117417,2136,95,1.422
Performance Max,35,2899.75,120444,2012,93,1.433
Performance Max,36,2996.02,128298,2098,104,1.466
Performance Max,37,2581.47,110408,1877,82,1.519
Performance Max,38,2745.78,113382,2000,95,1.603
Performance Max,39,2747.2,125240,2006,72,1.493
Performance Max,40,3074.11,124920,1879,94,1.402
Performance Max,41,2958.91,110944,1837,106,1.498
Performance Max,42,2928.29,122745,2306,106,1.442
Performance Max,43,3205.7,124250,2092,95,1.43
Performance Max,44,3366.72,130259,2072,116,1.413
Performance Max,45,3318.9,150104,2069,109,1.473
Performance Max,46,3570.7,147960,2616,128,1.429
Performance Max,47,4111.39,179896,2477,134,1.648
Performance Max,48,4378.88,184724,2815,132,1.586
Performance Max,49,4635.4,187109,2927,129,1.512
Performance Max,50,4622.06,196104,3296,168,1.554
Performance Max,51,5431.55,218950,3172,154,1.675
Performance Max,52,5063.93,215548,3830,196,1.496
Shopping,1,2007.85,60840,1880,77,1.0
Shopping,2,1941.43,66031,2225,81,1.015
Shopping,3,1939.6,64064,2083,71,0.994
Shopping,4,1823.22,63808,1920,81,1.06
Shopping,5,2471.32,86719,2637,98,1.019
Shopping,6,2177.29,79893,2359,81,0.978
Shopping,7,2943.39,88602,3054,117,0.989
Shopping,8,2240.85,78205,2060,104,0.959
Shopping,9,2128.98,77641,2300,97,1.052
Shopping,10,2169.18,66657,2076,86,0.999
Shopping,11,1906.38,72813,2292,92,0.949
Shopping,12,2052.01,60053,2221,68,1.021
Shopping,13,2048.67,69436,1998,69,0.995
Shopping,14,1879.77,64476,2012,79,1.106
Shopping,15,1894.07,60286,2025,71,1.014
Shopping,16,1806.74,52912,1823,73,0.99
Shopping,17,1736.51,54450,1755,78,0.991
Shopping,18,1668.23,55043,1910,60,1.042
Shopping,19,1674.12,60865,1797,66,0.923
Shopping,20,2043.07,69084,1804,81,0.96
Shopping,21,1846.7,58391,2012,77,1.025
Shopping,22,1996.14,64957,1952,79,0.947
Shopping,23,1579.91,49533,1496,62,1.053
Shopping,24,1708.41,49738,1594,62,1.026
Shopping,25,1132.2,37532,1042,45,1.045
Shopping,26,1092.95,40856,1100,42,1.015
Shopping,27,1119.78,35121,1129,50,1.1
Shopping,28,1126.78,40152,1162,47,1.063
Shopping,29,1220.25,39620,1114,42,0.997
Shopping,30,1228.02,41409,1269,52,0.88
Shopping,31,1809.49,55139,1863,71,1.032
Shopping,32,2133.65,73689,1936,94,0.983
Shopping,33,2005.77,78506,2462,83,1.061
Shopping,34,2228.96,67885,2248,94,1.007
Shopping,35,2370.87,79833,2391,92,0.97
Shopping,36,2400.42,79416,2382,88,0.973
Shopping,37,2083.75,70270,2069,81,1.027
Shopping,38,2206.63,73623,1912,82,1.035
Shopping,39,2241.49,75661,2237,81,1.061
Shopping,40,2131.12,78790,2251,79,0.98
Shopping,41,2419.73,74655,2140,90,0.959
Shopping,42,2242.02,80354,2473,90,1.026
Shopping,43,2370.19,79813,2425,107,1.025
Shopping,44,2656.34,94567,2730,106,0.958
Shopping,45,3122.84,103844,3050,111,0.915
Shopping,46,3501.12,117091,3939,137,1.051
Shopping,47,4019.99,127438,3854,148,1.089
Shopping,48,3931.68,139132,4531,165,0.971
Shopping,49,4566.34,154711,4678,184,1.038
Shopping,50,5038.67,152809,4744,207,1.024
Shopping,51,5223.57,178221,5470,192,0.939
Shopping,52,5229.72,199653,5136,214,0.991
